"","Label","Plate.x","Repeat.x","Type.x","Time.x","Absorbance_all","Plate.y","Repeat.y","Well","Type.y","Time.y","A"
"1","D54",2,1,"M","00:01:03.34",0.016,2,1,"D12","M","00:01:08.32",0.94
"2","D54",2,1,"M","00:01:03.34",0.016,2,1,"D11","M","00:01:07.43",0.91
"3","D54",2,1,"M","00:01:03.34",0.016,2,1,"D10","M","00:01:06.54",0.866
"4","D54",2,1,"M","00:01:04.23",0.017,2,1,"D12","M","00:01:08.32",0.94
"5","D54",2,1,"M","00:01:04.23",0.017,2,1,"D11","M","00:01:07.43",0.91
"6","D54",2,1,"M","00:01:04.23",0.017,2,1,"D10","M","00:01:06.54",0.866
"7","D54",2,1,"M","00:01:05.12",0.019,2,1,"D12","M","00:01:08.32",0.94
"8","D54",2,1,"M","00:01:05.12",0.019,2,1,"D11","M","00:01:07.43",0.91
"9","D54",2,1,"M","00:01:05.12",0.019,2,1,"D10","M","00:01:06.54",0.866
"10","D55",1,1,"M","00:00:34.09",0.02,1,1,"B07","M","00:00:37.63",1.03
"11","D55",1,1,"M","00:00:34.09",0.02,1,1,"B06","M","00:00:36.74",1.131
"12","D55",1,1,"M","00:00:34.09",0.02,1,1,"B08","M","00:00:38.52",1.074
"13","D55",1,1,"M","00:00:34.98",0.026,1,1,"B07","M","00:00:37.63",1.03
"14","D55",1,1,"M","00:00:34.98",0.026,1,1,"B06","M","00:00:36.74",1.131
"15","D55",1,1,"M","00:00:34.98",0.026,1,1,"B08","M","00:00:38.52",1.074
"16","D55",1,1,"M","00:00:35.87",0.023,1,1,"B07","M","00:00:37.63",1.03
"17","D55",1,1,"M","00:00:35.87",0.023,1,1,"B06","M","00:00:36.74",1.131
"18","D55",1,1,"M","00:00:35.87",0.023,1,1,"B08","M","00:00:38.52",1.074
"19","D56",1,1,"M","00:00:36.76",0.003,1,1,"B11","M","00:00:41.19",0.861
"20","D56",1,1,"M","00:00:36.76",0.003,1,1,"B09","M","00:00:39.41",0.782
"21","D56",1,1,"M","00:00:36.76",0.003,1,1,"B10","M","00:00:40.30",0.869
"22","D56",1,1,"M","00:00:37.65",0.011,1,1,"B11","M","00:00:41.19",0.861
"23","D56",1,1,"M","00:00:37.65",0.011,1,1,"B09","M","00:00:39.41",0.782
"24","D56",1,1,"M","00:00:37.65",0.011,1,1,"B10","M","00:00:40.30",0.869
"25","D56",1,1,"M","00:00:38.53",-0.01,1,1,"B11","M","00:00:41.19",0.861
"26","D56",1,1,"M","00:00:38.53",-0.01,1,1,"B09","M","00:00:39.41",0.782
