"","Plate","Repeat","Well","Type","Time","A","Label"
"1",1,1,"A01","M","00:00:18.30",0.076,"0"
"2",1,1,"A02","M","00:00:19.20",0.078,"8"
"3",1,1,"A03","M","00:00:20.09",0.134,"16"
"4",1,1,"A04","M","00:00:20.98",0.212,"24"
"5",1,1,"A05","M","00:00:21.87",0.316,"32"
"6",1,1,"A06","M","00:00:22.76",0.454,"40"
"7",1,1,"A07","M","00:00:23.65",0.152,"R46"
"8",1,1,"A08","M","00:00:24.54",0.163,"R46"
"9",1,1,"A09","M","00:00:25.42",0.148,"R46"
"10",1,1,"A10","M","00:00:26.31",0.163,"M89"
"11",1,1,"A11","M","00:00:27.20",0.173,"M89"
"12",1,1,"A12","M","00:00:28.09",0.168,"M89"
"13",1,1,"B01","M","00:00:31.43",0.167,"M41"
"14",1,1,"B02","M","00:00:32.31",0.18,"M41"
"15",1,1,"B03","M","00:00:33.20",0.169,"M41"
"16",1,1,"B04","M","00:00:34.09",0.153,"D55"
"17",1,1,"B05","M","00:00:34.98",0.163,"D55"
"18",1,1,"B06","M","00:00:35.87",0.15,"D55"
"19",1,1,"B07","M","00:00:36.76",0.16,"D56"
"20",1,1,"B08","M","00:00:37.65",0.182,"D56"
"21",1,1,"B09","M","00:00:38.53",0.1,"D56"
"22",1,1,"B10","M","00:00:39.42",0.236,"X42"
"23",1,1,"B11","M","00:00:40.31",0.203,"X42"
"24",1,1,"B12","M","00:00:41.20",0.205,"X42"
"25",1,1,"C01","M","00:00:44.54",0.227,"T62"
"26",1,1,"C02","M","00:00:45.42",0.215,"T62"
"27",1,1,"C03","M","00:00:46.31",0.219,"T62"
"28",1,1,"C04","M","00:00:47.20",0.44,"T59"
"29",1,1,"C05","M","00:00:48.09",0.414,"T59"
"30",1,1,"C06","M","00:00:48.98",0.453,"T59"
"31",1,1,"C07","M","00:00:49.87",0.148,"D58"
"32",1,1,"C08","M","00:00:50.76",0.141,"D58"
"33",1,1,"C09","M","00:00:51.65",0.152,"D58"
"34",1,1,"C10","M","00:00:52.53",0.23,"R50"
"35",1,1,"C11","M","00:00:53.42",0.233,"R50"
"36",1,1,"C12","M","00:00:54.31",0.233,"R50"
"37",1,1,"D01","M","00:00:57.65",0.305,"R42"
"38",1,1,"D02","M","00:00:58.53",0.317,"R42"
"39",1,1,"D03","M","00:00:59.42",0.303,"R42"
"40",1,1,"D04","M","00:01:00.31",0.2,"R48"
"41",1,1,"D05","M","00:01:01.20",0.169,"R48"
"42",1,1,"D06","M","00:01:02.09",0.181,"R48"
"43",1,1,"D07","M","00:01:02.98",0.14,"T56"
"44",1,1,"D08","M","00:01:03.87",0.149,"T56"
"45",1,1,"D09","M","00:01:04.76",0.139,"T56"
"46",1,1,"D10","M","00:01:05.65",0.179,"X44"
"47",1,1,"D11","M","00:01:06.53",0.187,"X44"
"48",1,1,"D12","M","00:01:07.42",0.176,"X44"
"49",1,1,"E01","M","00:01:10.76",0.381,"R47"
"50",1,1,"E02","M","00:01:11.65",0.347,"R47"
"51",1,1,"E03","M","00:01:12.53",0.346,"R47"
"52",1,1,"E04","M","00:01:13.42",0.12,"N45"
"53",1,1,"E05","M","00:01:14.31",0.136,"N45"
"54",1,1,"E06","M","00:01:15.20",0.131,"N45"
"55",1,1,"E07","M","00:01:16.09",0.214,"N44"
"56",1,1,"E08","M","00:01:16.98",0.202,"N44"
"57",1,1,"E09","M","00:01:17.87",0.205,"N44"
"58",1,1,"E10","M","00:01:18.76",0.249,"X43"
"59",1,1,"E11","M","00:01:19.65",0.244,"X43"
"60",1,1,"E12","M","00:01:20.53",0.235,"X43"
"61",1,1,"F01","M","00:01:23.87",0.17,"M47"
"62",1,1,"F02","M","00:01:24.76",0.153,"M47"
"63",1,1,"F03","M","00:01:25.65",0.155,"M47"
"64",1,1,"F04","M","00:01:26.53",0.463,"T58"
"65",1,1,"F05","M","00:01:27.42",0.46,"T58"
"66",1,1,"F06","M","00:01:28.31",0.438,"T58"
"67",1,1,"F07","M","00:01:29.20",0.185,"N46"
"68",1,1,"F08","M","00:01:30.09",0.157,"N46"
"69",1,1,"F09","M","00:01:30.98",0.165,"N46"
"70",1,1,"F10","M","00:01:31.87",0.732,"T61"
"71",1,1,"F11","M","00:01:32.76",0.864,"T61"
"72",1,1,"F12","M","00:01:33.65",0.67,"T61"
"73",1,1,"G01","M","00:01:36.98",0.22,"D59"
"74",1,1,"G02","M","00:01:37.87",0.204,"D59"
"75",1,1,"G03","M","00:01:38.76",0.203,"D59"
"76",1,1,"G04","M","00:01:39.64",0.084,"POS"
"77",1,1,"G05","M","00:01:40.53",0.085,"POS"
"78",1,1,"G06","M","00:01:41.42",0.085,"POS"
