"","Plate","Repeat","Well","Type","Time","A","Label"
"9",1,1,"A09","M","00:00:26.30",0.936,"R46"
"10",1,1,"A10","M","00:00:27.19",1.017,"R46"
"11",1,1,"A11","M","00:00:28.08",1.024,"R46"
"12",1,1,"A12","M","00:00:28.96",1.174,"M89"
"13",1,1,"B01","M","00:00:32.30",1.148,"M89"
"14",1,1,"B02","M","00:00:33.19",1.11,"M89"
"15",1,1,"B03","M","00:00:34.07",1.118,"M41"
"16",1,1,"B04","M","00:00:34.96",1.138,"M41"
"17",1,1,"B05","M","00:00:35.85",1.154,"M41"
"18",1,1,"B06","M","00:00:36.74",1.131,"D55"
"19",1,1,"B07","M","00:00:37.63",1.03,"D55"
"20",1,1,"B08","M","00:00:38.52",1.074,"D55"
"21",1,1,"B09","M","00:00:39.41",0.782,"D56"
"22",1,1,"B10","M","00:00:40.30",0.869,"D56"
"23",1,1,"B11","M","00:00:41.19",0.861,"D56"
"24",1,1,"B12","M","00:00:42.08",1.081,"X42"
"25",1,1,"C01","M","00:00:45.41",1.04,"X42"
"26",1,1,"C02","M","00:00:46.30",1.008,"X42"
"27",1,1,"C03","M","00:00:47.19",1.128,"T62"
"28",1,1,"C04","M","00:00:48.07",1.174,"T62"
"29",1,1,"C05","M","00:00:48.96",1.187,"T62"
"30",1,1,"C06","M","00:00:49.85",1.216,"T59"
"31",1,1,"C07","M","00:00:50.74",1.243,"T59"
"32",1,1,"C08","M","00:00:51.63",1.259,"T59"
"33",1,1,"C09","M","00:00:52.52",1.095,"D58"
"34",1,1,"C10","M","00:00:53.41",1.091,"D58"
"35",1,1,"C11","M","00:00:54.30",1.062,"D58"
"36",1,1,"C12","M","00:00:55.19",1.15,"R50"
"37",1,1,"D01","M","00:00:58.52",1.129,"R50"
"38",1,1,"D02","M","00:00:59.41",1.113,"R50"
"39",1,1,"D03","M","00:01:00.30",0.995,"R42"
"40",1,1,"D04","M","00:01:01.18",1.049,"R42"
"41",1,1,"D05","M","00:01:02.07",0.904,"R42"
"42",1,1,"D06","M","00:01:02.96",0.975,"R48"
"43",1,1,"D07","M","00:01:03.85",1.148,"R48"
"44",1,1,"D08","M","00:01:04.74",1.057,"R48"
"45",1,1,"D09","M","00:01:05.63",1.003,"T56"
"46",1,1,"D10","M","00:01:06.52",0.909,"T56"
"47",1,1,"D11","M","00:01:07.41",0.844,"T56"
"48",1,1,"D12","M","00:01:08.30",1.134,"X44"
"49",1,1,"E01","M","00:01:11.63",1.12,"X44"
"50",1,1,"E02","M","00:01:12.52",1.15,"X44"
"51",1,1,"E03","M","00:01:13.41",1.306,"R47"
"52",1,1,"E04","M","00:01:14.30",1.207,"R47"
"53",1,1,"E05","M","00:01:15.18",1.239,"R47"
"54",1,1,"E06","M","00:01:16.07",0.92,"N45"
"55",1,1,"E07","M","00:01:16.96",0.984,"N45"
"56",1,1,"E08","M","00:01:17.85",0.943,"N45"
"57",1,1,"E09","M","00:01:18.74",1.06,"N44"
"58",1,1,"E10","M","00:01:19.63",1.112,"N44"
"59",1,1,"E11","M","00:01:20.52",1.11,"N44"
"60",1,1,"E12","M","00:01:21.41",1.107,"X43"
"61",1,1,"F01","M","00:01:24.74",1.11,"X43"
"62",1,1,"F02","M","00:01:25.63",1.121,"X43"
"63",1,1,"F03","M","00:01:26.52",1.172,"M47"
"64",1,1,"F04","M","00:01:27.41",1.112,"M47"
"65",1,1,"F05","M","00:01:28.30",1.088,"M47"
"66",1,1,"F06","M","00:01:29.18",1.21,"T58"
"67",1,1,"F07","M","00:01:30.07",1.249,"T58"
"68",1,1,"F08","M","00:01:30.96",1.167,"T58"
"69",1,1,"F09","M","00:01:31.85",1.013,"N46"
"70",1,1,"F10","M","00:01:32.74",1.069,"N46"
"71",1,1,"F11","M","00:01:33.63",0.989,"N46"
"72",1,1,"F12","M","00:01:34.52",1.27,"T61"
"73",1,1,"G01","M","00:01:37.85",1.2,"T61"
"74",1,1,"G02","M","00:01:38.74",1.296,"T61"
"75",1,1,"G03","M","00:01:39.63",1.078,"D59"
