ID,1,10,plate,repeat ,delta OD
0,0.076,0.075,1,1,-0.001
8,0.078,0.076,1,1,-0.002
16,0.134,0.08,1,1,-0.054
24,0.212,0.09,1,1,-0.122
32,0.316,0.136,1,1,-0.18
40,0.454,0.201,1,1,-0.252
bck,0.133,0.11,1,1,-0.023
bck,0.097,0.094,1,1,-0.003
bck,0.203,0.155,1,1,-0.048
D55,0.153,0.173,1,1,0.02
D55,0.163,0.189,1,1,0.026
D55,0.15,0.173,1,1,0.023
D56,0.16,0.163,1,1,0.003
D56,0.182,0.193,1,1,0.011
D56,0.1,0.09,1,1,-0.01
D58,0.148,0.169,1,1,0.021
D58,0.141,0.158,1,1,0.017
D58,0.152,0.177,1,1,0.025
D59,0.22,0.244,1,1,0.024
D59,0.204,0.225,1,1,0.021
D59,0.203,0.224,1,1,0.021
M41,0.167,0.177,1,1,0.009
M41,0.18,0.194,1,1,0.015
M41,0.169,0.179,1,1,0.01
M47,0.17,0.188,1,1,0.019
M47,0.153,0.167,1,1,0.014
M47,0.155,0.168,1,1,0.013
M89,0.163,0.177,1,1,0.014
M89,0.173,0.185,1,1,0.012
M89,0.168,0.18,1,1,0.012
N44,0.214,0.227,1,1,0.013
N44,0.202,0.213,1,1,0.011
N44,0.205,0.218,1,1,0.013
N45,0.12,0.133,1,1,0.012
N45,0.136,0.153,1,1,0.016
N45,0.131,0.147,1,1,0.016
N46,0.185,0.201,1,1,0.016
N46,0.157,0.163,1,1,0.006
N46,0.165,0.175,1,1,0.01
pos,0.084,0.094,1,1,0.01
pos,0.085,0.095,1,1,0.01
pos,0.085,0.095,1,1,0.011
R42,0.305,0.299,1,1,-0.006
R42,0.317,0.322,1,1,0.005
R42,0.303,0.296,1,1,-0.007
R46,0.152,0.167,1,1,0.016
R46,0.163,0.168,1,1,0.005
R46,0.148,0.163,1,1,0.015
R47,0.381,0.381,1,1,0
R47,0.347,0.344,1,1,-0.003
R47,0.346,0.343,1,1,-0.003
R48,0.2,0.214,1,1,0.015
R48,0.169,0.182,1,1,0.014
R48,0.181,0.192,1,1,0.011
R50,0.23,0.232,1,1,0.002
R50,0.233,0.236,1,1,0.003
R50,0.233,0.238,1,1,0.005
T56,0.14,0.15,1,1,0.011
T56,0.149,0.168,1,1,0.019
T56,0.139,0.158,1,1,0.019
T58,0.463,0.454,1,1,-0.009
T58,0.46,0.453,1,1,-0.008
T58,0.438,0.422,1,1,-0.016
T59,0.44,0.42,1,1,-0.02
T59,0.414,0.401,1,1,-0.013
T59,0.453,0.429,1,1,-0.024
T61,0.732,0.719,1,1,-0.012
T61,0.864,0.772,1,1,-0.092
T61,0.67,0.677,1,1,0.007
T62,0.227,0.233,1,1,0.005
T62,0.215,0.228,1,1,0.013
T62,0.219,0.23,1,1,0.012
X42,0.236,0.236,1,1,0
X42,0.203,0.21,1,1,0.007
X42,0.205,0.211,1,1,0.007
