"","ID","ploidy","tank","day","shell_length","shell_width","shell_height","sample_date","shell_volume","calc_dry_weight","trt","avg1","avg2","OD","nmol","BSA","protein","P","CS_activity"
"1","D54","D","tank_5",1,83,60,29,"7/12/21",75618,3.48432,"D-control",0.148,0.165333333333333,0.0173333333333333,2.772,0.905333333333333,582.266666666666,0.000582266666666666,2.11586901763224
"2","D55","D","tank_5",1,96,39,28,"7/12/21",54890,2.6552,"D-control",0.1765,0.243666666666667,0.0671666666666667,4.4165,1.07516666666667,972.883333333333,0.000972883333333333,2.01759946093799
"3","D56","D","tank_5",1,82,50,30,"7/12/21",64403,3.03572,"D-control",0.143222222222222,0.183888888888889,0.0406666666666667,3.542,0.899333333333333,568.466666666667,0.000568466666666667,2.76924279738869
"4","D57","D","tank_5",1,87,55,27,"7/12/21",67646,3.16544,"D-control",0.24,0.261666666666667,0.0216666666666667,2.915,1.09933333333333,1028.46666666667,0.00102846666666667,1.25969620362568
"5","D58","D","tank_5",1,81,65,23,"7/12/21",63405,2.9958,"D-control",0.139222222222222,0.189,0.0497777777777778,3.84266666666667,0.943,668.9,0.0006689,2.5532244757839
"6","D59","D","tank_5",1,79,60,32,"7/12/21",79419,3.63636,"D-control",0.210833333333333,0.278166666666667,0.0673333333333333,4.422,1.078,979.4,0.0009794,2.00667075079981
"7","M41","D","tank_2",1,74,59,30,"7/12/21",68581,3.20284,"D-heat",0.2065,0.287833333333333,0.0813333333333333,4.884,1.178,1209.4,0.0012094,1.79482939198501
"8","M42","D","tank_2",1,78,52,31,"7/12/21",65835,3.093,"D-heat",0.371,0.462666666666667,0.0916666666666667,5.225,1.13333333333333,1106.66666666667,0.00110666666666667,2.09839357429719
"9","M43","D","tank_2",1,90,49,26,"7/12/21",60036,2.86104,"D-heat",0.493333333333333,0.544333333333333,0.051,3.883,1.06366666666667,946.433333333333,0.000946433333333333,1.82345413775696
"10","M45","D","tank_5",1,103,52,24,"7/12/21",67305,3.1518,"D-control",0.333,0.407333333333333,0.0743333333333333,4.653,1.081,986.3,0.0009863,2.09672513434046
"11","M46","D","tank_5",1,92,46,29,"7/12/21",64260,3.03,"D-control",0.1984,0.224,0.0256,3.0448,1.08616666666667,998.183333333333,0.000998183333333334,1.35570731272924
"12","M47","D","tank_3",1,82,50,27,"7/12/21",57962,2.77808,"D-heat",0.180666666666667,0.236,0.0553333333333333,4.026,0.999,797.7,0.0007977,2.24311562408591
"13","M48","D","tank_5",1,84,50,36,"7/12/21",79168,3.62632,"D-control",0.171666666666667,0.202,0.0303333333333333,3.201,1.078,979.4,0.0009794,1.45259002110135
"14","M49","D","tank_5",1,81,54,30,"7/12/21",68707,3.20788,"D-control",0.165666666666667,0.185,0.0193333333333333,2.838,0.969,728.7,0.0007287,1.73093637070582
"15","M89","D","tank_5",1,82,47,29,"7/12/21",58521,2.80044,"D-control",0.178333333333333,0.2045,0.0261666666666666,3.0635,1.14233333333333,1127.36666666667,0.00112736666666667,1.20773089697722
"16","M90","D","tank_5",1,87,57,33,"7/12/21",85685,3.887,"D-control",0.211,0.235333333333333,0.0243333333333333,3.003,1.23933333333333,1350.46666666667,0.00135046666666667,0.988300340622995
"17","N41","D","tank_2",1,95,53,27,"7/12/21",71181,3.30684,"D-heat",0.1832,0.2279,0.0447,3.6751,0.9465,676.95,0.00067695,2.41284847887994
"18","N42","D","tank_2",1,85,61,33,"7/12/21",89590,4.0432,"D-heat",0.192666666666667,0.230333333333333,0.0376666666666667,3.443,1.182,1218.6,0.0012186,1.25572150190565
"19","N43","D","tank_2",1,93,48,27,"7/12/21",63108,2.98392,"D-heat",0.127333333333333,0.147,0.0196666666666667,2.849,0.874,510.2,0.0005102,2.48181541007884
"20","N44","D","tank_2",1,91,50,32,"7/12/21",76236,3.50904,"D-heat",0.184666666666667,0.219666666666667,0.035,3.355,0.983888888888889,762.944444444444,0.000762944444444444,1.95441636932935
"21","N45","D","tank_2",1,92,49,30,"7/12/21",70811,3.29204,"D-heat",0.130777777777778,0.173888888888889,0.0431111111111111,3.62266666666667,0.886666666666667,539.333333333333,0.000539333333333333,2.98530421645378
"22","N46","D","tank_2",1,93,55,30,"7/12/21",80346,3.67344,"D-heat",0.145555555555556,0.175,0.0294444444444444,3.17166666666667,0.863666666666667,486.433333333333,0.000486433333333333,2.89788863762687
"23","N47","D","tank_2",1,99,56,32,"7/12/21",92891,4.17524,"D-heat",0.1876,0.2068,0.0192,2.8336,1.00216666666667,804.983333333333,0.000804983333333333,1.56447683526919
"24","R42","T","tank_3",1,90,71,41,"7/12/21",137178,5.94672,"T-heat",0.294166666666667,0.311166666666667,0.017,2.761,0.9555,697.65,0.00069765,1.75892082148801
"25","R46","T","tank_3",1,73,53,25,"7/12/21",50645,2.4854,"T-heat",0.168,0.234333333333333,0.0663333333333334,4.389,0.870666666666667,502.533333333333,0.000502533333333333,3.88166622446272
"26","R47","T","tank_3",1,87,56,32,"7/12/21",81631,3.72484,"T-heat",0.358,0.356,-0.002,2.134,1.25066666666667,1376.53333333333,0.00137653333333333,0.689009427870334
"27","R48","T","tank_3",1,96,74,36,"7/12/21",133907,5.81588,"T-heat",0.210666666666667,0.269666666666667,0.059,4.147,1.09,1007,0.001007,1.83029901798521
"28","N48","D","tank_2",2,77,56,34,"missing",76764,3.53016,"D-desiccation",0.287333333333333,0.369333333333333,0.082,4.906,0.865333333333333,490.266666666667,0.000490266666666667,4.44746623152932
"29","R50","T","tank_3",1,73,47,26,"7/12/21",46708,2.32792,"T-heat",0.205777777777778,0.249444444444444,0.0436666666666667,3.641,1.04066666666667,893.533333333333,0.000893533333333333,1.81103732995101
"30","R78","T","tank_3",1,78,55,33,"7/12/21",74126,3.42464,"T-heat",0.288666666666667,0.319,0.0303333333333334,3.201,1.16366666666667,1176.43333333333,0.00117643333333333,1.20930496132378
"31","T55","T","tank_6",1,79,51,26,"7/12/21",54849,2.65356,"T-control",0.190666666666667,0.217666666666667,0.027,3.091,1.01433333333333,832.966666666667,0.000832966666666667,1.64925900729654
"32","T56","T","tank_6",1,83,65,32,"7/12/21",90394,4.07536,"T-control",0.216166666666667,0.280833333333333,0.0646666666666667,4.334,1.054,924.2,0.0009242,2.08420495804179
"33","T57","T","tank_6",1,79,58,30,"7/12/21",71974,3.33856,"T-control",0.234333333333333,0.255,0.0206666666666667,2.882,0.983,760.9,0.0007609,1.68338663278866
"34","T58","T","tank_6",1,63,61,26,"7/12/21",52317,2.55228,"T-control",0.3925,0.451833333333333,0.0593333333333333,4.158,1.21516666666667,1294.88333333333,0.00129488333333333,1.42715559960357
"35","T59","T","tank_6",1,89,74,35,"7/12/21",120695,5.2874,"T-control",0.286111111111111,0.316222222222222,0.0301111111111111,3.19366666666667,1.105,1041.5,0.0010415,1.36284916697783
"36","T61","T","tank_6",1,80,52,35,"7/12/21",76236,3.50904,"T-control",0.37675,0.429583333333333,0.0528333333333333,3.9435,1.154,1154.2,0.0011542,1.51851210073355
"37","T62","T","tank_6",1,84,57,35,"7/12/21",87745,3.9694,"T-control",0.220833333333333,0.2885,0.0676666666666667,4.433,1.101,1032.3,0.0010323,1.90857524190858
"38","X41","T","tank_3",1,95,75,39,"7/12/21",145495,6.2794,"T-heat",0.264666666666667,0.298,0.0333333333333333,3.3,1.01366666666667,831.433333333333,0.000831433333333333,1.76402197009181
"39","X42","T","tank_3",1,93,71,45,"7/12/21",155580,6.6828,"T-heat",0.239,0.289,0.05,3.85,1.019,843.7,0.0008437,2.02810372301898
"40","X43","T","tank_3",1,86,49,29,"7/12/21",63987,3.01908,"T-heat",0.277,0.310222222222222,0.0332222222222222,3.29633333333333,1.10155555555556,1033.57777777778,0.00103357777777778,1.41744246880666
"41","X44","T","tank_3",1,67,50,30,"7/12/21",52622,2.56448,"T-heat",0.185833333333333,0.237666666666667,0.0518333333333333,3.9105,1.01866666666667,842.933333333333,0.000842933333333333,2.06184751660867
"42","X45","T","tank_6",1,83,52,30,"7/12/21",67796,3.17144,"T-control",0.204333333333333,0.225666666666667,0.0213333333333333,2.904,0.987666666666667,771.633333333333,0.000771633333333333,1.67264244675796
"43","X46","T","tank_6",1,81,51,31,"7/12/21",67053,3.14172,"T-control",0.360666666666667,0.491666666666667,0.131,6.523,0.934,648.2,0.0006482,4.47255648119579
"44","X47","T","tank_6",1,88,63,29,"7/12/21",84182,3.82688,"T-control",0.322333333333333,0.382333333333333,0.0599999999999999,4.18,1.15211111111111,1149.85555555556,0.00114985555555556,1.61566187057311
"45","X48","T","tank_6",1,66,51,30,"7/12/21",52873,2.57452,"T-control",0.325166666666667,0.358333333333333,0.0331666666666667,3.2945,1.13866666666667,1118.93333333333,0.00111893333333333,1.30858754369241
"47","N49","D","tank_2",2,82,52,29,"7/13/21",64746,3.04944,"D-desiccation",0.141222222222222,0.194888888888889,0.0536666666666667,3.971,0.855833333333333,468.416666666667,0.000468416666666667,3.76777560339204
"48","N50","D","tank_2",2,90,55,31,"7/13/21",80346,3.67344,"D-desiccation",0.360666666666667,0.458333333333333,0.0976666666666667,5.423,0.969333333333333,729.466666666667,0.000729466666666667,3.30408822275026
"49","N51","D","tank_2",2,91,55,32,"7/13/21",83860,3.814,"D-desiccation",0.249666666666667,0.315666666666667,0.066,4.378,0.905833333333333,583.416666666667,0.000583416666666666,3.33514259867638
"50","N52","D","tank_2",2,72,59,32,"7/13/21",71176,3.30664,"D-desiccation",0.328,0.434666666666667,0.106666666666667,5.72,0.985,765.5,0.0007655,3.32099571812178
"51","N53","D","tank_2",2,80,56,28,"7/13/21",65680,3.0868,"D-desiccation",0.389666666666667,0.522666666666667,0.133,6.589,1.05533333333333,927.266666666666,0.000927266666666666,3.15814700313946
"52","N54","D","tank_2",2,103,56,37,"7/13/21",111744,4.92936,"D-desiccation",0.34,0.442,0.102,5.566,1.074,970.2,0.0009702,2.54976064499874
"53","N55","D","tank_2",2,83,54,35,"7/13/21",82137,3.74508,"D-desiccation",0.329,0.407666666666667,0.0786666666666667,4.796,1.10166666666667,1033.83333333333,0.00103383333333333,2.06179805470471
"54","N56","D","tank_2",2,98,54,34,"7/13/21",94210,4.228,"D-desiccation",0.318,0.423,0.105,5.665,0.814666666666667,373.733333333333,0.000373733333333333,6.73682958734689
"55","N57","D","tank_2",2,94,61,42,"7/13/21",126097,5.50348,"D-desiccation",0.213222222222222,0.321222222222222,0.108,5.764,0.871666666666667,504.833333333333,0.000504833333333333,5.07450203587543
"56","N58","D","tank_2",2,88,54,30,"7/13/21",74644,3.44536,"D-desiccation",0.304,0.4,0.096,5.368,0.91,593,0.000593,4.02323402660671
"57","N59","D","tank_2",2,94,52,28,"7/13/21",71662,3.32608,"D-desiccation",0.164666666666667,0.196333333333333,0.0316666666666667,3.245,0.972666666666667,737.133333333333,0.000737133333333333,1.95652829278587
"58","R51","T","tank_3",2,81,55,29,"7/13/21",67646,3.16544,"T-desiccation",0.359666666666667,0.4435,0.0838333333333334,4.9665,1.16866666666667,1187.93333333333,0.00118793333333333,1.85812896346596
"59","R53","T","tank_3",2,72,42,28,"7/13/21",44334,2.23296,"T-desiccation",0.38,0.538,0.158,7.414,0.968666666666667,727.933333333333,0.000727933333333333,4.52666605611014
