"","Label","follow","ploidy.follow","tank","day","ploidy.trt","X","shell_length","shell_width","shell_height","mortality","sample_date","dry_weight","shell_volume","calc_dry_weight","histology","tube_number","Round","meanA","OD","GSH","protein_a","protein_b","CS_activity","ploidy","trt_list","date","heat"
"1","D54","no","D-no","tank_5",1,"D-control","control_D_1",83,60,29,NA,"7/12/21",NA,75618,3.48432,"yes","",1,0.148,0.01733333,1.374,549.166667,0.00054917,1.11198786,"D","D-control","3/22/2022","control"
"2","D55","no","D-no","tank_5",1,"D-control","control_D_1",96,39,28,NA,"7/12/21",NA,54890,2.6552,"yes","",1,0.15533333,0.023,1.918,1074.55556,0.00107456,0.793299555,"D","D-control","3/22/2022","control"
"3","D56","no","D-no","tank_5",1,"D-control","control_D_1",82,50,30,NA,"7/12/21",NA,64403,3.03572,"yes","",2,0.07833333,0.109,3.369,1065.27778,0.00106528,3.162555411,"D","D-control","7/11/2022","control"
"4","D58","no","D-no","tank_5",1,"D-control","control_D_1",81,65,23,NA,"7/12/21",NA,63405,2.9958,"yes","",1,0.147,0.021,1.726,1108.38889,0.00110839,0.692095634,"D","D-control","3/22/2022","control"
"5","D59","no","D-no","tank_5",1,"D-control","control_D_1",79,60,32,NA,"7/12/21",NA,79419,3.63636,"yes","",1,0.209,0.022,1.822,1226.61111,0.00122661,0.660174827,"D","D-control","3/22/2022","control"
"6","M41","no","D-no","tank_2",1,"D-heat_desiccation","heat_desiccation_D_1",74,59,30,NA,"7/12/21",NA,68581,3.20284,"yes","",1,0.172,0.01133333,0.798,1293.88889,0.00129389,0.27410906,"D","D-heat","3/22/2022","heat"
"7","M42","no","D-no","tank_2",1,"D-heat_desiccation","heat_desiccation_D_1",78,52,31,NA,"7/12/21",NA,65835,3.093,"yes","",1,0.371,0.09166667,8.51,1438.16667,0.00143817,2.629891451,"D","D-heat","3/22/2022","heat"
"8","M43","no","D-no","tank_2",1,"D-heat_desiccation","heat_desiccation_D_1",90,49,26,NA,"7/12/21",NA,60036,2.86104,"yes","",1,0.49333333,0.051,4.606,1204.44444,0.00120444,1.699630996,"D","D-heat","3/22/2022","heat"
"9","M45","no","D-no","tank_5",1,"D-control","control_D_1",103,52,24,NA,"7/12/21",NA,67305,3.1518,"yes","",1,0.333,0.07433333,6.846,1156.22222,0.00115622,2.631558716,"D","D-control","3/22/2022","control"
"10","M46","no","D-no","tank_5",1,"D-control","control_D_1",92,46,29,NA,"7/12/21",NA,64260,3.03,"yes","",1,0.18533333,0.01733333,1.374,996,0.000996,0.613119143,"D","D-control","3/22/2022","control"
